"","X","city08","cityA08","cityCD","cityE","cityUF","combE","cylinders","drive","fuelCost08","fuelCostA08","fuelType","fuelType1","hlv","lv4","make","model","mpgData","phevBlended","pv2","pv4","range","rangeCity","rangeCityA","rangeHwy","rangeHwyA","trany","UCity","UCityA","VClass","year","youSaveSpend","guzzler","tCharger","sCharger","atvType","fuelType2","rangeA","evMotor"
"452",12203,18,0,0,0,0,0,6,"Front-Wheel Drive",2600,0,"Regular","Regular Gasoline",0,21,"Mercury","Montego FWD","N","false",0,108,0,0,0,0,0,"Automatic (variable gear ratios)",22,0,"Large Cars",2005,-1750,"",NA,NA,"","","",""
"453",12204,19,0,0,0,0,0,6,"Front-Wheel Drive",2450,0,"Regular","Regular Gasoline",0,21,"Mercury","Montego FWD","Y","false",0,108,0,0,0,0,0,"Automatic 6-spd",23.4,0,"Large Cars",2005,-1000,"",NA,NA,"","","",""
"463",12216,18,0,0,0,0,0,6,"Front-Wheel Drive",2450,0,"Regular","Regular Gasoline",0,18,"Pontiac","Bonneville","N","false",0,104,0,0,0,0,0,"Automatic 4-spd",22,0,"Large Cars",2005,-1000,"",NA,NA,"","","",""
"464",12217,15,0,0,0,0,0,8,"Front-Wheel Drive",2900,0,"Regular","Regular Gasoline",0,18,"Pontiac","Bonneville","Y","false",0,104,0,0,0,0,0,"Automatic 4-spd",18.8889,0,"Large Cars",2005,-3250,"",NA,NA,"","","",""
"516",12276,22,0,0,0,0,0,4,"Front-Wheel Drive",2100,0,"Regular","Regular Gasoline",0,36,"Ford","Focus Station Wagon","Y","false",0,96,0,0,0,0,0,"Automatic 4-spd",28.5595,0,"Midsize Station Wagons",2005,750,"",NA,NA,"","","",""
"517",12277,22,0,0,0,0,0,4,"Front-Wheel Drive",2000,0,"Regular","Regular Gasoline",0,36,"Ford","Focus Station Wagon","Y","false",0,96,0,0,0,0,0,"Manual 5-spd",28.4,0,"Midsize Station Wagons",2005,1250,"",NA,NA,"","","",""
"518",12278,17,0,0,0,0,0,6,"Front-Wheel Drive",2750,0,"Regular","Regular Gasoline",0,39,"Ford","Taurus Wagon","Y","false",0,104,0,0,0,0,0,"Automatic 4-spd",21.1,0,"Midsize Station Wagons",2005,-2500,"",NA,NA,"","","",""
"519",12280,17,0,0,0,0,0,6,"Front-Wheel Drive",2750,0,"Regular","Regular Gasoline",0,39,"Ford","Taurus Wagon","N","false",0,104,0,0,0,0,0,"Automatic 4-spd",20.8,0,"Midsize Station Wagons",2005,-2500,"",NA,NA,"","","",""
"520",12281,17,0,0,0,0,0,6,"Front-Wheel Drive",2750,0,"Regular","Regular Gasoline",0,39,"Mercury","Sable Wagon","N","false",0,104,0,0,0,0,0,"Automatic 4-spd",21.1,0,"Midsize Station Wagons",2005,-2500,"",NA,NA,"","","",""
"521",12282,17,0,0,0,0,0,6,"Front-Wheel Drive",2750,0,"Regular","Regular Gasoline",0,39,"Mercury","Sable Wagon","Y","false",0,104,0,0,0,0,0,"Automatic 4-spd",20.8,0,"Midsize Station Wagons",2005,-2500,"",NA,NA,"","","",""
"522",12283,17,0,0,0,0,0,6,"Front-Wheel Drive",2600,0,"Regular","Regular Gasoline",0,34,"Mazda","6 Sport Wagon","N","false",0,98,0,0,0,0,0,"Manual 5-spd",21.2925,0,"Midsize Station Wagons",2005,-1750,"",NA,NA,"","","",""
"523",12284,17,0,0,0,0,0,6,"Front-Wheel Drive",2600,0,"Regular","Regular Gasoline",0,34,"Mazda","6 Sport Wagon","Y","false",0,98,0,0,0,0,0,"Automatic (S6)",21.7672,0,"Midsize Station Wagons",2005,-1750,"",NA,NA,"","","",""
"529",12292,18,0,0,0,0,0,6,"Front-Wheel Drive",2450,0,"Regular","Regular Gasoline",0,34,"Saturn","LW300","N","false",0,98,0,0,0,0,0,"Automatic 4-spd",22.9,0,"Midsize Station Wagons",2005,-1000,"",NA,NA,"","","",""
"691",12472,16,0,0,0,0,0,6,"Front-Wheel Drive",2900,0,"Regular","Regular Gasoline",0,0,"Buick","Terraza FWD","Y","false",0,0,0,0,0,0,0,"Automatic 4-spd",19.7,0,"Minivan - 2WD",2005,-3250,"",NA,NA,"","","",""
"692",12473,16,0,0,0,0,0,6,"Front-Wheel Drive",2900,0,"Regular","Regular Gasoline",0,0,"Chevrolet","Uplander FWD","Y","false",0,0,0,0,0,0,0,"Automatic 4-spd",19.7,0,"Minivan - 2WD",2005,-3250,"",NA,NA,"","","",""
"693",12474,17,0,0,0,0,0,6,"Front-Wheel Drive",2750,0,"Regular","Regular Gasoline",0,0,"Chevrolet","Venture FWD","Y","false",0,0,0,0,0,0,0,"Automatic 4-spd",20.8,0,"Minivan - 2WD",2005,-2500,"",NA,NA,"","","",""
"694",12475,17,0,0,0,0,0,6,"Front-Wheel Drive",2750,0,"Regular","Regular Gasoline",0,0,"Chrysler","Voyager/Town and Country 2WD","Y","false",0,0,0,0,0,0,0,"Automatic 4-spd",20.6615,0,"Minivan - 2WD",2005,-2500,"",NA,NA,"","","",""
"695",12476,16,0,0,0,0,0,6,"Front-Wheel Drive",2900,0,"Regular","Regular Gasoline",0,0,"Chrysler","Voyager/Town and Country 2WD","Y","false",0,0,0,0,0,0,0,"Automatic 4-spd",19.5,0,"Minivan - 2WD",2005,-3250,"",NA,NA,"","","",""
"696",12477,17,0,0,0,0,0,4,"Front-Wheel Drive",2600,0,"Regular","Regular Gasoline",0,0,"Dodge","Caravan/Grand Caravan 2WD","Y","false",0,0,0,0,0,0,0,"Automatic 4-spd",21.8,0,"Minivan - 2WD",2005,-1750,"",NA,NA,"","","",""
"697",12478,17,0,0,0,0,0,6,"Front-Wheel Drive",2600,0,"Regular","Regular Gasoline",0,0,"Dodge","Caravan/Grand Caravan 2WD","Y","false",0,0,0,0,0,0,0,"Automatic 4-spd",21.4,0,"Minivan - 2WD",2005,-1750,"",NA,NA,"","","",""
"698",12480,16,0,0,0,0,0,6,"Front-Wheel Drive",2900,0,"Regular","Regular Gasoline",0,0,"Dodge","Caravan/Grand Caravan 2WD","Y","false",0,0,0,0,0,0,0,"Automatic 4-spd",19.5,0,"Minivan - 2WD",2005,-3250,"",NA,NA,"","","",""
"699",12481,16,0,0,0,0,0,6,"Front-Wheel Drive",2900,0,"Regular","Regular Gasoline",0,0,"Ford","Freestar Cargo Van FWD","Y","false",0,0,0,0,0,0,0,"Automatic 4-spd",19.9,0,"Minivan - 2WD",2005,-3250,"",NA,NA,"","","",""
"700",12482,16,0,0,0,0,0,6,"Front-Wheel Drive",2900,0,"Regular","Regular Gasoline",0,0,"Ford","Freestar Cargo Van FWD","N","false",0,0,0,0,0,0,0,"Automatic 4-spd",19.3105,0,"Minivan - 2WD",2005,-3250,"",NA,NA,"","","",""
"701",12483,16,0,0,0,0,0,6,"Front-Wheel Drive",2900,0,"Regular","Regular Gasoline",0,0,"Ford","Freestar Wagon FWD","Y","false",0,0,0,0,0,0,0,"Automatic 4-spd",19.9,0,"Minivan - 2WD",2005,-3250,"",NA,NA,"","","",""
"702",12484,16,0,0,0,0,0,6,"Front-Wheel Drive",2900,0,"Regular","Regular Gasoline",0,0,"Ford","Freestar Wagon FWD","Y","false",0,0,0,0,0,0,0,"Automatic 4-spd",19.2845,0,"Minivan - 2WD",2005,-3250,"",NA,NA,"","","",""
"703",12485,17,0,0,0,0,0,6,"Front-Wheel Drive",2600,0,"Regular","Regular Gasoline",0,0,"Honda","Odyssey","Y","false",0,0,0,0,0,0,0,"Automatic 5-spd",21.7,0,"Minivan - 2WD",2005,-1750,"",NA,NA,"","","",""
"704",12486,17,0,0,0,0,0,6,"Front-Wheel Drive",2750,0,"Regular","Regular Gasoline",0,0,"Honda","Odyssey","Y","false",0,0,0,0,0,0,0,"Automatic 5-spd",20.9,0,"Minivan - 2WD",2005,-2500,"",NA,NA,"","","",""
"705",12487,14,0,0,0,0,0,6,"Front-Wheel Drive",3050,0,"Regular","Regular Gasoline",0,0,"Kia","Sedona","Y","false",0,0,0,0,0,0,0,"Automatic 5-spd",17.6,0,"Minivan - 2WD",2005,-4000,"",NA,NA,"","","",""
"706",12488,16,0,0,0,0,0,6,"Front-Wheel Drive",2750,0,"Regular","Regular Gasoline",0,0,"Mazda","MPV","Y","false",0,0,0,0,0,0,0,"Automatic 5-spd",19.9828,0,"Minivan - 2WD",2005,-2500,"",NA,NA,"","","",""
"707",12489,16,0,0,0,0,0,6,"Front-Wheel Drive",2900,0,"Regular","Regular Gasoline",0,0,"Mercury","Monterey Wagon FWD","Y","false",0,0,0,0,0,0,0,"Automatic 4-spd",19.3105,0,"Minivan - 2WD",2005,-3250,"",NA,NA,"","","",""
"708",12491,17,0,0,0,0,0,6,"Front-Wheel Drive",2750,0,"Regular","Regular Gasoline",0,0,"Nissan","Quest","Y","false",0,0,0,0,0,0,0,"Automatic 4-spd",21,0,"Minivan - 2WD",2005,-2500,"",NA,NA,"","","",""
"709",12492,16,0,0,0,0,0,6,"Front-Wheel Drive",2750,0,"Regular","Regular Gasoline",0,0,"Nissan","Quest","Y","false",0,0,0,0,0,0,0,"Automatic 5-spd",20.2346,0,"Minivan - 2WD",2005,-2500,"",NA,NA,"","","",""
